name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
shravanikarale25,15.47451706,217,7.3,7.6,7.45
surajdhotre777,14.9116807,227,7.1,7.8,7.45
faceom,23.78943396,152,8.8,6,7.4
jaiswalvipul8,19.01615194,180,8,6.8,7.4
aneeshs005,17.87664958,191,7.7,7.1,7.4
shubhambo13,16.80671785,196,7.6,7.2,7.4
prakashgoyal.16417,16.74968095,192,7.6,7.2,7.4
zaidderiya07,14.98029303,221,7.1,7.7,7.4
ma20,21.99903428,160,8.5,6.2,7.35
aniketsingh12899,19.80158195,174,8.1,6.6,7.35
suryaraju2412,19.66264027,175,8.1,6.6,7.35
ajitpzambare,15.78003024,199,7.4,7.3,7.35
manishnibandhe5,18.49990121,178,7.9,6.7,7.3
jisha.chandran006,13.49838767,230,6.7,7.9,7.3
payalsahu350,11.26609116,286,5.8,8.8,7.3
piimpalesayali,11.80770514,249,6.1,8.4,7.25
bipulguchhait301,12.98314855,230,6.4,8,7.2
akshaythakurcr7,12.75075424,236,6.3,8.1,7.2
shivamsonkar260,18.7068134,167,7.9,6.4,7.15
zaibaattar96,13.18237617,226,6.5,7.8,7.15
fahimjmi98,9.913046557,286,5.5,8.8,7.15
amishapani17,12.19507148,238,6.1,8.2,7.15
jithintchandran123,8.723447878,319,4.9,9.3,7.1
www.akmalbaig98,15.92317398,180,7.4,6.8,7.1
harshpratapsingh100,13.74296478,205,6.8,7.4,7.1
satyamlimbani2510,12.6096653,231,6.2,8,7.1
shubhamgadhekar,11.94647497,237,6.1,8.1,7.1
shivpujankumar1272,13.62188403,207,6.7,7.4,7.05
anupshukla276,13.05556249,222,6.4,7.7,7.05
781sunil,17.96313634,162,7.8,6.3,7.05
vishwajeetku987,16.57930909,169,7.6,6.5,7.05
jeevankholiya.98,15.64368901,180,7.3,6.8,7.05
kathaitajayk,18.57766836,157,7.9,6.1,7
sanurag4342,18.46731952,159,7.9,6.1,7
babimishra002,15.94042817,169,7.5,6.5,7
sanjayvenai,14.22124068,191,6.9,7.1,7
boddurakeshh,14.200009,191,6.9,7.1,7
missanita54321,18.23968365,158,7.8,6.1,6.95
karmalkarshubham22,15.01331645,181,7.1,6.8,6.95
shitalsonawat,12.94616931,207,6.3,7.5,6.9
mohammedsadathkhan123,15.55571172,165,7.3,6.4,6.85
poojakhandelwal115,14.89761682,177,7,6.7,6.85
prachililhare0197,13.90334572,185,6.8,6.9,6.85
ameynp2,10.42460189,235,5.6,8.1,6.85
manusharma29,15.9314487,159,7.4,6.2,6.8
as99561878,9.275527077,250,5.2,8.4,6.8
mhatrerahul2000,16.36100982,146,7.6,5.9,6.75
sonjanaa24,13.33464812,183,6.6,6.9,6.75
thakurviplav88,13.27062884,182,6.6,6.9,6.75
mohammadafroz445,13.19160742,190,6.5,7,6.75
ada.2490,13.16070756,188,6.5,7,6.75
ss1441713,14.34636872,168,6.9,6.5,6.7
saroj.vrc,9.454427309,238,5.3,8.1,6.7
kavinash120,11.60839214,201,6,7.3,6.65
srujank526,11.56362147,205,5.9,7.4,6.65
vivekc.apk,13.53333333,168,6.7,6.4,6.55
apekshapatane18,11.00103634,201,5.8,7.3,6.55
tekwani.sahil,20.76594828,101,8.3,4.7,6.5
vinayvinnu2803,15.58974863,141,7.3,5.7,6.5
prabhatbarman98,14.20119696,157,6.9,6.1,6.5
abhijitborawake07,14.80679328,142,7,5.9,6.45
SSandeep71,12.95189504,170,6.4,6.5,6.45
shubhendranetid2020,6.122633459,295,4,8.9,6.45
syedmobrur02,16.35742188,125,7.5,5.3,6.4
rishikesh61995,15.93184143,127,7.4,5.4,6.4
abhishekray689,13.07703807,163,6.5,6.3,6.4
aniketkank471,17.52052996,113,7.7,5,6.35
shiroya0749,16.93282468,112,7.7,5,6.35
tanishachaudhary2308,15.21275837,135,7.2,5.5,6.35
vishal06gupta78,14.9388854,136,7.1,5.6,6.35
rsan1423,12.89122807,167,6.3,6.4,6.35
sryder258,9.36291191,209,5.2,7.5,6.35
geniuspashya,8.987804025,221,5,7.7,6.35
priyanka.hagawane995,12.9826371,160,6.4,6.2,6.3
vimal150896,13.30278087,144,6.6,5.9,6.25
harshchouhan18,12.50797224,160,6.2,6.3,6.25
er.govindkushwaha,10.66476218,183,5.6,6.9,6.25
amnntiwari,7.640172419,231,4.5,8,6.25
tejaswinidinkarpujari,15.46668458,124,7.2,5.2,6.2
meghanath1803,13.54984213,140,6.7,5.7,6.2
pvjjavalkar,7.245031236,231,4.4,8,6.2
amberb034,18.20377231,98,7.8,4.6,6.2
kalyanijaiwant3665,10.75825653,172,5.7,6.6,6.15
deepaklakhchaura313,9.196624316,191,5.1,7.1,6.1
wakodikar.vipul,8.670053136,203,4.9,7.3,6.1
chotipainkra1999,12.89758798,141,6.3,5.8,6.05
sumanaonlyme,9.044661365,188,5.1,7,6.05
himanshuj426,5.77597907,239,3.9,8.2,6.05
pmishra7683,12.65036581,141,6.2,5.8,6
rishabhsingh.email,11.55681818,150,5.9,6,5.95
9540divyank,7.199510554,208,4.4,7.5,5.95
adikinng43,13.80627339,118,6.8,5.1,5.95
navinkpatel998,14.9066327,104,7,4.8,5.9
nishant.nksingh,12.88430323,133,6.3,5.5,5.9
sruthiammus98,11.74597924,141,6,5.8,5.9
sheetalnaithani34,11.27883417,146,5.9,5.9,5.9
sonikabaranwal,12.55036959,129,6.2,5.4,5.8
swaritkhare,11.63140832,135,6,5.6,5.8
harshchaturvedi95,9.588833461,162,5.3,6.3,5.8
swaroopmhasawade10,11.06631682,141,5.8,5.7,5.75
manoharmaheshwar28,9.0077306,167,5.1,6.4,5.75
vasanthakurni20,11.56841573,135,5.9,5.5,5.7
prathamayagole777,11.52709439,133,5.9,5.5,5.7
prtkwadhawan,10.8616686,140,5.7,5.7,5.7
alams3510,15.63587684,73,7.3,4,5.65
alkeshsakre110791,9.233366719,156,5.2,6.1,5.65
sssspppssp,12.61321709,113,6.2,5,5.6
adityakumarjha102,9.750868056,141,5.4,5.8,5.6
shrivasakash565,10.94666934,129,5.7,5.4,5.55
mrunali24rathod,8.70704236,159,4.9,6.2,5.55
manaksharma98668,9.057164477,156,5.1,6,5.55
chihempat,6.259119963,188,4.1,7,5.55
nitin.kumar.84625,13.65961098,84,6.7,4.3,5.5
shubhamnakade,13.45654565,88,6.6,4.4,5.5
VISHAL9670967076,12.04975003,108,6.1,4.9,5.5
afreenmulla858682,8.119965517,159,4.8,6.2,5.5
tanmayct,11.60042877,106,6,4.9,5.45
chiramdasunirmala,11.157766,119,5.8,5.1,5.45
anantojha29,10.96170213,115,5.8,5.1,5.45
Anantjain341,9.722141907,125,5.4,5.3,5.35
s.chille2602,10.77239928,108,5.7,4.9,5.3
dibyaprasadkanungo7,9.777885719,122,5.4,5.2,5.3
adhiar98,10.23754079,114,5.6,5,5.3
anurupsaha57254,9.987798448,112,5.5,5,5.25
rajvir.singh5,11.88913832,85,6.1,4.3,5.2
mayurbhgn108,9.039789834,125,5.1,5.3,5.2
chandan2606kr,7.786375782,142,4.6,5.8,5.2
priyanale2120,15.65514062,52,7.4,2.9,5.15
amanv1011,6.967475436,149,4.3,6,5.15
pranjal.mankar97,9.473185123,108,5.3,4.9,5.1
meenakshismohan.98,8.939594745,122,5,5.2,5.1
krishnakisso777,8.832605531,123,5,5.2,5.1
123vannalsantosh,8.75670148,119,5,5.2,5.1
belalsiddiquei40,7.836524554,137,4.6,5.6,5.1
raghav.anand83,9.944810397,98,5.5,4.6,5.05
dwivediashish852,7.104007774,135,4.4,5.6,5
sss300800,4.371760996,186,3.1,6.9,5
sk1403200,9.80966812,95,5.4,4.5,4.95
laxmanmadipadige12,9.281499457,101,5.2,4.7,4.95
shivamch449,9.68156631,96,5.3,4.6,4.95
nauni07,10.86371514,78,5.7,4.1,4.9
swapnambc.18,8.728018757,105,4.9,4.8,4.85
hsumanth2707,8.197732578,110,4.8,4.9,4.85
hnotani7,7.706908435,115,4.6,5.1,4.85
way2mukesh,6.813908451,133,4.2,5.4,4.8
sumitnehra02,10.20421053,74,5.6,4,4.8
